id,url,status,http_code,file_path,file_size,width,height,mode,md5_hash,error
3040444,https://a0.muscache.com/pictures/d1282941-b8b6-441a-9d44-5cd1d68e7f8b.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\3040444.jpg,803609,4096,2731,RGB,b4c8217a067a7f913e29712a981db5f1,
3454237,https://a0.muscache.com/pictures/3cc51b22-6456-4209-b9d5-147df9faaaaf.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\3454237.jpg,1531934,3072,2304,RGB,fd853470b88bd15fcce68a11ba6803f2,
3066648,https://a0.muscache.com/pictures/7fe65816-b832-4460-9346-8fe056a1af7b.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\3066648.jpg,2103436,4032,3024,RGB,bb67c5dbab6be3e86dc8c1f1866d1780,
3868910,https://a0.muscache.com/pictures/8de52616-96d8-4887-9bae-78c0c0016884.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\3868910.jpg,982512,3648,2432,RGB,bee414badc599cf7ebb87d89ddb25c1f,
4241484,https://a0.muscache.com/pictures/miso/Hosting-4241484/original/18d31407-e5f9-4d66-a74a-e6540425a221.jpeg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\4241484.jpg,142311,1298,865,RGB,5d1f43558015172f209889610f87afdc,
4124504,https://a0.muscache.com/pictures/60122faf-089a-4667-ac9b-c7aeae3187bc.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\4124504.jpg,664002,6000,4000,RGB,3c55c4bc7780532ffd29246d05627b3d,
3990524,https://a0.muscache.com/pictures/a3aa735d-7310-46e1-be95-3a6f7fadb557.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\3990524.jpg,1458623,3285,2190,RGB,c9cc15b0a1d85996e490d7e1920559b8,
3220474,https://a0.muscache.com/pictures/506eab9a-dae4-4b31-8e3e-0c4a9d38a540.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\3220474.jpg,3603997,4032,3024,RGB,fd8c7dc5e2e070d7d7e27e5f9938f1ac,
3314819,https://a0.muscache.com/pictures/42052824/3b0cc939_original.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\3314819.jpg,86665,625,417,RGB,6938122e17ad4c29ba4aff4d10067702,
4895765,https://a0.muscache.com/pictures/64826532/f42c1049_original.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\4895765.jpg,97494,640,480,RGB,175ee5862cd495478f77326961aa85ad,
